white_rating,black_rating,opening_name,opening_eco,time_control,num_moves,result,rating_diff,avg_rating,higher_rated_won
2051,1775,English Opening,A10,Blitz,52,white,276,1913.0,True
2372,1936,London System,D02,Bullet,67,white,436,2154.0,True
1149,1325,French Defense,C00,Blitz,52,black,-176,1237.0,True
1390,1445,Queen's Gambit,D06,Rapid,68,black,-55,1417.5,True
1602,1551,King's Indian Defense,E60,Blitz,28,white,51,1576.5,True
2019,1760,King's Indian Defense,E60,Rapid,29,draw,259,1889.5,False
1204,1352,Italian Game,C50,Bullet,64,black,-148,1278.0,True
1426,1463,King's Indian Defense,E60,Bullet,29,black,-37,1444.5,True
1733,1616,Italian Game,C50,Bullet,28,white,117,1674.5,True
1630,1565,King's Indian Defense,E60,Bullet,26,white,65,1597.5,True
1387,1443,Pirc Defense,B07,Rapid,41,black,-56,1415.0,True
1460,1480,King's Indian Defense,E60,Blitz,33,white,-20,1470.0,False
1088,1294,London System,D02,Bullet,68,black,-206,1191.0,True
1429,1465,Queen's Gambit,D06,Blitz,21,black,-36,1447.0,True
1420,1460,Pirc Defense,B07,Blitz,65,black,-40,1440.0,True
1570,1535,London System,D02,Blitz,22,white,35,1552.5,True
1333,1416,Pirc Defense,B07,Bullet,45,black,-83,1374.5,True
1641,1570,Scandinavian Defense,B01,Blitz,27,white,71,1605.5,True
1804,1652,English Opening,A10,Bullet,34,white,152,1728.0,True
1547,1524,King's Indian Defense,E60,Rapid,61,white,23,1535.5,True
1606,1553,Pirc Defense,B07,Bullet,28,black,53,1579.5,False
1516,1508,Slav Defense,D10,Rapid,34,white,8,1512.0,True
1500,1500,Caro-Kann Defense,B10,Rapid,59,black,0,1500.0,False
1284,1392,Italian Game,C50,Bullet,51,black,-108,1338.0,True
1595,1548,Sicilian Defense,B20,Bullet,46,white,47,1571.5,True
1471,1486,Ruy Lopez,C60,Classical,65,draw,-15,1478.5,False
2128,1814,Sicilian Defense,B20,Blitz,40,white,314,1971.0,True
1972,1736,Ruy Lopez,C60,Blitz,54,white,236,1854.0,True
1616,1558,Italian Game,C50,Bullet,34,white,58,1587.0,True
1271,1385,Pirc Defense,B07,Bullet,46,black,-114,1328.0,True
1166,1333,Italian Game,C50,Blitz,69,white,-167,1249.5,False
1857,1678,English Opening,A10,Rapid,47,white,179,1767.5,True
1579,1540,French Defense,C00,Bullet,22,white,39,1559.5,True
1644,1572,Ruy Lopez,C60,Rapid,61,black,72,1608.0,False
977,1239,Scandinavian Defense,B01,Blitz,65,white,-262,1108.0,False
1778,1639,Pirc Defense,B07,Bullet,29,white,139,1708.5,True
1636,1568,London System,D02,Bullet,27,white,68,1602.0,True
1167,1334,Pirc Defense,B07,Bullet,32,black,-167,1250.5,True
1359,1430,English Opening,A10,Blitz,63,black,-71,1394.5,True
1579,1539,Scandinavian Defense,B01,Blitz,57,black,40,1559.0,False
1516,1508,Italian Game,C50,Blitz,48,black,8,1512.0,False
1412,1456,Slav Defense,D10,Bullet,55,black,-44,1434.0,True
1469,1485,Scandinavian Defense,B01,Blitz,64,black,-16,1477.0,True
1424,1462,Queen's Gambit,D06,Blitz,35,white,-38,1443.0,False
1546,1523,French Defense,C00,Blitz,65,black,23,1534.5,False
1941,1720,English Opening,A10,Blitz,42,white,221,1830.5,True
730,1115,Sicilian Defense,B20,Bullet,42,black,-385,922.5,True
1429,1465,London System,D02,Blitz,67,white,-36,1447.0,False
1553,1527,Queen's Gambit,D06,Blitz,25,black,26,1540.0,False
1589,1545,Sicilian Defense,B20,Blitz,38,black,44,1567.0,False
1388,1444,Queen's Gambit,D06,Bullet,49,black,-56,1416.0,True
973,1237,Slav Defense,D10,Blitz,44,white,-264,1105.0,False
1598,1549,Queen's Gambit,D06,Blitz,35,white,49,1573.5,True
2018,1759,King's Indian Defense,E60,Blitz,58,white,259,1888.5,True
1040,1270,London System,D02,Rapid,30,white,-230,1155.0,False
1759,1629,Sicilian Defense,B20,Rapid,34,white,130,1694.0,True
1401,1450,London System,D02,Bullet,63,white,-49,1425.5,False
1482,1491,Queen's Gambit,D06,Blitz,28,black,-9,1486.5,True
1184,1342,Scandinavian Defense,B01,Blitz,53,draw,-158,1263.0,False
1400,1450,Ruy Lopez,C60,Classical,61,black,-50,1425.0,True
1890,1695,Italian Game,C50,Bullet,28,white,195,1792.5,True
1675,1588,London System,D02,Bullet,61,white,87,1631.5,True
2020,1760,London System,D02,Blitz,22,white,260,1890.0,True
1853,1676,Pirc Defense,B07,Bullet,38,white,177,1764.5,True
1632,1566,Scandinavian Defense,B01,Blitz,20,white,66,1599.0,True
2023,1761,Caro-Kann Defense,B10,Blitz,29,white,262,1892.0,True
1632,1566,Ruy Lopez,C60,Bullet,20,white,66,1599.0,True
1748,1624,Queen's Gambit,D06,Blitz,51,white,124,1686.0,True
1411,1455,English Opening,A10,Rapid,54,black,-44,1433.0,True
1520,1510,French Defense,C00,Rapid,40,black,10,1515.0,False
1291,1396,Caro-Kann Defense,B10,Blitz,25,white,-105,1343.5,False
1797,1649,Ruy Lopez,C60,Bullet,35,white,148,1723.0,True
1147,1324,Caro-Kann Defense,B10,Bullet,33,black,-177,1235.5,True
1735,1618,Ruy Lopez,C60,Rapid,57,draw,117,1676.5,False
1443,1472,Italian Game,C50,Rapid,32,black,-29,1457.5,True
1851,1675,Italian Game,C50,Blitz,64,draw,176,1763.0,False
1725,1612,King's Indian Defense,E60,Rapid,37,white,113,1668.5,True
2046,1773,French Defense,C00,Bullet,60,white,273,1909.5,True
1719,1609,Italian Game,C50,Blitz,58,white,110,1664.0,True
1028,1264,King's Indian Defense,E60,Bullet,56,white,-236,1146.0,False
1480,1490,Italian Game,C50,Bullet,26,white,-10,1485.0,False
1148,1324,Sicilian Defense,B20,Blitz,29,black,-176,1236.0,True
1345,1423,Italian Game,C50,Blitz,22,draw,-78,1384.0,False
1953,1726,Caro-Kann Defense,B10,Classical,59,white,227,1839.5,True
1691,1595,Pirc Defense,B07,Blitz,31,white,96,1643.0,True
1290,1395,Ruy Lopez,C60,Rapid,47,black,-105,1342.5,True
1196,1348,Queen's Gambit,D06,Rapid,50,white,-152,1272.0,False
1510,1505,Ruy Lopez,C60,Blitz,21,white,5,1507.5,True
1135,1317,French Defense,C00,Classical,54,white,-182,1226.0,False
1299,1400,Scandinavian Defense,B01,Blitz,21,black,-101,1349.5,True
1594,1547,Queen's Gambit,D06,Blitz,59,draw,47,1570.5,False
1847,1674,English Opening,A10,Bullet,53,white,173,1760.5,True
1683,1592,Slav Defense,D10,Bullet,45,white,91,1637.5,True
813,1157,Pirc Defense,B07,Rapid,21,black,-344,985.0,True
1591,1545,King's Indian Defense,E60,Blitz,46,black,46,1568.0,False
1522,1511,Scandinavian Defense,B01,Blitz,21,white,11,1516.5,True
1624,1562,Pirc Defense,B07,Bullet,59,black,62,1593.0,False
1985,1743,London System,D02,Blitz,56,white,242,1864.0,True
881,1190,Queen's Gambit,D06,Rapid,40,black,-309,1035.5,True
1323,1412,Italian Game,C50,Bullet,60,black,-89,1367.5,True
1677,1588,Italian Game,C50,Rapid,59,white,89,1632.5,True
1026,1263,Slav Defense,D10,Blitz,30,black,-237,1144.5,True
1943,1722,King's Indian Defense,E60,Rapid,29,white,221,1832.5,True
1611,1556,Queen's Gambit,D06,Bullet,25,white,55,1583.5,True
1754,1627,French Defense,C00,Blitz,59,white,127,1690.5,True
1329,1415,Queen's Gambit,D06,Bullet,44,black,-86,1372.0,True
1744,1622,London System,D02,Blitz,57,white,122,1683.0,True
1821,1661,English Opening,A10,Rapid,34,white,160,1741.0,True
1570,1535,Slav Defense,D10,Blitz,49,white,35,1552.5,True
1570,1535,Queen's Gambit,D06,Bullet,24,black,35,1552.5,False
1581,1540,Caro-Kann Defense,B10,Rapid,52,black,41,1560.5,False
1241,1371,Italian Game,C50,Bullet,48,black,-130,1306.0,True
1456,1478,Pirc Defense,B07,Blitz,47,black,-22,1467.0,True
1454,1477,King's Indian Defense,E60,Classical,67,white,-23,1465.5,False
1615,1557,King's Indian Defense,E60,Blitz,34,black,58,1586.0,False
1800,1650,French Defense,C00,Rapid,33,black,150,1725.0,False
1182,1341,Queen's Gambit,D06,Blitz,65,black,-159,1261.5,True
1462,1481,Pirc Defense,B07,Rapid,37,black,-19,1471.5,True
1944,1722,Caro-Kann Defense,B10,Blitz,35,black,222,1833.0,False
1277,1389,Scandinavian Defense,B01,Blitz,57,black,-112,1333.0,True
1253,1376,Sicilian Defense,B20,Bullet,52,black,-123,1314.5,True
1561,1531,Queen's Gambit,D06,Rapid,56,white,30,1546.0,True
1753,1626,London System,D02,Bullet,80,draw,127,1689.5,False
1503,1501,Italian Game,C50,Classical,58,draw,2,1502.0,False
1899,1700,Italian Game,C50,Bullet,48,white,199,1799.5,True
1757,1628,London System,D02,Bullet,20,black,129,1692.5,False
1753,1627,Queen's Gambit,D06,Rapid,28,white,126,1690.0,True
1666,1583,Queen's Gambit,D06,Bullet,31,black,83,1624.5,False
2198,1849,King's Indian Defense,E60,Blitz,49,white,349,2023.5,True
1438,1469,Ruy Lopez,C60,Rapid,39,black,-31,1453.5,True
899,1200,Sicilian Defense,B20,Bullet,47,black,-301,1049.5,True
1981,1740,Sicilian Defense,B20,Bullet,59,white,241,1860.5,True
1363,1432,Sicilian Defense,B20,Blitz,39,white,-69,1397.5,False
1532,1516,Italian Game,C50,Bullet,43,white,16,1524.0,True
1893,1697,Scandinavian Defense,B01,Bullet,40,black,196,1795.0,False
1019,1259,Queen's Gambit,D06,Bullet,36,draw,-240,1139.0,False
1125,1313,Sicilian Defense,B20,Blitz,66,draw,-188,1219.0,False
1020,1260,Sicilian Defense,B20,Blitz,37,white,-240,1140.0,False
1262,1381,Caro-Kann Defense,B10,Bullet,44,black,-119,1321.5,True
1632,1566,Slav Defense,D10,Blitz,36,draw,66,1599.0,False
1657,1578,French Defense,C00,Blitz,61,white,79,1617.5,True
1583,1542,Sicilian Defense,B20,Bullet,63,draw,41,1562.5,False
1076,1288,Ruy Lopez,C60,Blitz,59,white,-212,1182.0,False
807,1154,Caro-Kann Defense,B10,Rapid,48,black,-347,980.5,True
1516,1508,Ruy Lopez,C60,Blitz,35,white,8,1512.0,True
1358,1429,Pirc Defense,B07,Blitz,36,white,-71,1393.5,False
1638,1569,London System,D02,Blitz,67,black,69,1603.5,False
1711,1606,French Defense,C00,Bullet,33,white,105,1658.5,True
