white_rating,black_rating,opening_name,opening_eco,time_control,num_moves,result
1201,1351,Queen's Gambit,D06,Classical,54,white
1620,1560,English Opening,A10,Bullet,40,black
1228,1364,Italian Game,C50,Rapid,35,black
1387,1444,Pirc Defense,B07,Rapid,41,black
1890,1695,Queen's Gambit,D06,Classical,34,white
1393,1446,London System,D02,Blitz,29,black
1721,1610,Queen's Gambit,D06,Bullet,59,white
1220,1360,London System,D02,Blitz,28,white
1438,1469,Caro-Kann Defense,B10,Rapid,68,black
1215,1358,Sicilian Defense,B20,Rapid,28,black
1398,1449,Ruy Lopez,C60,Blitz,20,black
1752,1626,Scandinavian Defense,B01,Bullet,40,black
982,1241,Ruy Lopez,C60,Rapid,50,white
1630,1565,Queen's Gambit,D06,Rapid,61,white
1571,1535,King's Indian Defense,E60,Blitz,53,draw
1322,1411,Queen's Gambit,D06,Blitz,64,black
1066,1283,Italian Game,C50,Blitz,55,black
1522,1511,English Opening,A10,Blitz,39,white
1341,1420,Scandinavian Defense,B01,Blitz,51,white
1570,1535,Scandinavian Defense,B01,Rapid,45,black
1507,1504,Pirc Defense,B07,Classical,67,white
1981,1741,Italian Game,C50,Blitz,50,black
1428,1464,Caro-Kann Defense,B10,Blitz,58,black
1193,1347,Ruy Lopez,C60,Blitz,60,black
1554,1527,Slav Defense,D10,Bullet,73,draw
1566,1533,King's Indian Defense,E60,Bullet,65,draw
1908,1704,Italian Game,C50,Bullet,36,white
1751,1626,Scandinavian Defense,B01,Blitz,67,black
1607,1553,Sicilian Defense,B20,Bullet,49,draw
1939,1720,Queen's Gambit,D06,Blitz,58,black
1143,1321,Scandinavian Defense,B01,Rapid,47,black
1308,1404,King's Indian Defense,E60,Bullet,55,white
1222,1361,London System,D02,Blitz,34,black
1383,1441,King's Indian Defense,E60,Classical,36,white
1087,1294,Slav Defense,D10,Blitz,59,black
1691,1596,King's Indian Defense,E60,Bullet,44,black
1433,1466,Sicilian Defense,B20,Blitz,27,white
1059,1280,Sicilian Defense,B20,Blitz,48,black
1195,1347,London System,D02,Blitz,30,white
1594,1547,Sicilian Defense,B20,Bullet,61,black
1751,1625,French Defense,C00,Blitz,54,white
2099,1799,Sicilian Defense,B20,Blitz,55,white
2374,1937,Queen's Gambit,D06,Bullet,57,white
1624,1562,English Opening,A10,Blitz,55,white
1203,1351,Ruy Lopez,C60,Bullet,24,black
860,1180,Caro-Kann Defense,B10,Blitz,52,black
1580,1540,Pirc Defense,B07,Rapid,42,white
1256,1378,Sicilian Defense,B20,Bullet,40,black
1375,1437,Sicilian Defense,B20,Blitz,59,black
1316,1408,Queen's Gambit,D06,Blitz,69,white
1458,1479,London System,D02,Blitz,54,white
1820,1660,French Defense,C00,Classical,62,draw
1547,1523,English Opening,A10,Blitz,48,black
1452,1476,Sicilian Defense,B20,Bullet,27,white
1189,1344,Scandinavian Defense,B01,Classical,38,draw
998,1249,Sicilian Defense,B20,Rapid,33,black
1354,1427,Scandinavian Defense,B01,Blitz,71,draw
1484,1492,Italian Game,C50,Bullet,56,white
2030,1765,Slav Defense,D10,Bullet,28,white
1539,1519,Queen's Gambit,D06,Blitz,63,draw
1795,1648,Ruy Lopez,C60,Bullet,47,white
1350,1425,French Defense,C00,Bullet,34,black
1145,1323,Sicilian Defense,B20,Rapid,59,black
1210,1355,Italian Game,C50,Bullet,36,black
1282,1391,English Opening,A10,Bullet,66,white
2139,1820,Queen's Gambit,D06,Bullet,67,white
1254,1377,French Defense,C00,Blitz,66,black
1752,1626,London System,D02,Blitz,65,white
1229,1364,Italian Game,C50,Rapid,41,white
1779,1639,French Defense,C00,Bullet,58,white
1615,1557,Ruy Lopez,C60,Bullet,52,white
1453,1476,Caro-Kann Defense,B10,Blitz,49,black
1488,1494,Queen's Gambit,D06,Blitz,59,draw
1304,1402,Sicilian Defense,B20,Blitz,31,black
1634,1567,Sicilian Defense,B20,Classical,51,white
1364,1432,Slav Defense,D10,Blitz,48,white
1132,1316,Sicilian Defense,B20,Blitz,47,black
1117,1309,London System,D02,Classical,64,black
1552,1526,Slav Defense,D10,Bullet,30,black
1974,1737,Caro-Kann Defense,B10,Classical,68,white
1548,1524,Queen's Gambit,D06,Blitz,64,black
1464,1482,London System,D02,Blitz,64,black
1586,1543,Pirc Defense,B07,Classical,55,draw
1892,1696,Italian Game,C50,Blitz,39,white
1566,1533,Pirc Defense,B07,Blitz,69,black
1377,1439,Pirc Defense,B07,Bullet,62,black
1832,1666,Italian Game,C50,Blitz,42,white
1629,1565,Sicilian Defense,B20,Blitz,42,black
1961,1731,Scandinavian Defense,B01,Bullet,69,white
1555,1528,Sicilian Defense,B20,Rapid,38,black
1133,1317,English Opening,A10,Blitz,57,black
1090,1295,Sicilian Defense,B20,Blitz,53,white
1995,1747,Scandinavian Defense,B01,Bullet,59,white
2017,1758,Ruy Lopez,C60,Blitz,60,white
1446,1473,Italian Game,C50,Bullet,60,white
1385,1442,Sicilian Defense,B20,Bullet,54,black
1938,1719,Ruy Lopez,C60,Blitz,35,black
1168,1334,King's Indian Defense,E60,Bullet,50,black
1232,1366,Sicilian Defense,B20,Bullet,64,black
1693,1597,London System,D02,Blitz,22,white
1382,1441,English Opening,A10,Blitz,59,white
1498,1499,Queen's Gambit,D06,Classical,23,white
1451,1476,Pirc Defense,B07,Classical,23,black
1601,1550,English Opening,A10,Blitz,54,white
1922,1711,Scandinavian Defense,B01,Classical,22,white
1527,1513,Ruy Lopez,C60,Rapid,24,black
1693,1596,Scandinavian Defense,B01,Blitz,53,white
885,1193,King's Indian Defense,E60,Rapid,56,white
1485,1492,Pirc Defense,B07,Bullet,53,white
1247,1373,Caro-Kann Defense,B10,Blitz,38,black
1134,1317,Scandinavian Defense,B01,Blitz,41,black
1237,1369,French Defense,C00,Bullet,39,white
1400,1450,Sicilian Defense,B20,Bullet,56,white
1775,1638,Italian Game,C50,Classical,32,white
1102,1301,Slav Defense,D10,Blitz,55,draw
1509,1504,Scandinavian Defense,B01,Bullet,66,white
1355,1428,French Defense,C00,Bullet,20,white
1402,1451,Scandinavian Defense,B01,Blitz,61,black
1801,1651,Sicilian Defense,B20,Rapid,25,white
1661,1580,Sicilian Defense,B20,Rapid,36,white
1901,1700,King's Indian Defense,E60,Blitz,21,white
1454,1477,English Opening,A10,Bullet,58,white
1291,1395,Pirc Defense,B07,Bullet,41,draw
1433,1467,London System,D02,Blitz,62,draw
1573,1537,Queen's Gambit,D06,Rapid,66,black
1553,1527,London System,D02,Rapid,34,white
1175,1338,Caro-Kann Defense,B10,Blitz,29,black
1527,1513,London System,D02,Blitz,38,black
1568,1534,Ruy Lopez,C60,Blitz,25,white
2255,1877,Sicilian Defense,B20,Blitz,47,white
2063,1781,Sicilian Defense,B20,Blitz,61,white
1244,1372,Pirc Defense,B07,Blitz,21,draw
1414,1457,Sicilian Defense,B20,Blitz,56,black
1061,1281,Pirc Defense,B07,Classical,29,black
1323,1412,Scandinavian Defense,B01,Blitz,60,white
1595,1548,Italian Game,C50,Bullet,28,white
1862,1681,Slav Defense,D10,Bullet,35,white
1281,1390,Italian Game,C50,Blitz,57,black
1304,1402,Italian Game,C50,Blitz,32,black
856,1178,King's Indian Defense,E60,Blitz,51,black
1451,1475,Queen's Gambit,D06,Rapid,26,black
1181,1340,Queen's Gambit,D06,Bullet,48,white
1341,1420,Ruy Lopez,C60,Blitz,48,black
1237,1369,English Opening,A10,Rapid,41,black
1472,1486,Sicilian Defense,B20,Blitz,20,white
973,1237,Ruy Lopez,C60,Blitz,47,black
1060,1280,King's Indian Defense,E60,Bullet,53,white
2139,1820,Caro-Kann Defense,B10,Blitz,49,white
1114,1307,Scandinavian Defense,B01,Rapid,54,black
1171,1336,Ruy Lopez,C60,Classical,54,black
2051,1775,English Opening,A10,Blitz,52,white
2372,1936,London System,D02,Bullet,67,white
1149,1325,French Defense,C00,Blitz,52,black
1390,1445,Queen's Gambit,D06,Rapid,68,black
1602,1551,King's Indian Defense,E60,Blitz,28,white
2019,1760,King's Indian Defense,E60,Rapid,29,draw
1204,1352,Italian Game,C50,Bullet,64,black
1426,1463,King's Indian Defense,E60,Bullet,29,black
1733,1616,Italian Game,C50,Bullet,28,white
1630,1565,King's Indian Defense,E60,Bullet,26,white
1387,1443,Pirc Defense,B07,Rapid,41,black
1460,1480,King's Indian Defense,E60,Blitz,33,white
1088,1294,London System,D02,Bullet,68,black
1429,1465,Queen's Gambit,D06,Blitz,21,black
1420,1460,Pirc Defense,B07,Blitz,65,black
1570,1535,London System,D02,Blitz,22,white
1333,1416,Pirc Defense,B07,Bullet,45,black
1641,1570,Scandinavian Defense,B01,Blitz,27,white
1804,1652,English Opening,A10,Bullet,34,white
1547,1524,King's Indian Defense,E60,Rapid,61,white
1606,1553,Pirc Defense,B07,Bullet,28,black
1516,1508,Slav Defense,D10,Rapid,34,white
1500,1500,Caro-Kann Defense,B10,Rapid,59,black
1284,1392,Italian Game,C50,Bullet,51,black
1595,1548,Sicilian Defense,B20,Bullet,46,white
1471,1486,Ruy Lopez,C60,Classical,65,draw
2128,1814,Sicilian Defense,B20,Blitz,40,white
1972,1736,Ruy Lopez,C60,Blitz,54,white
1616,1558,Italian Game,C50,Bullet,34,white
1271,1385,Pirc Defense,B07,Bullet,46,black
1166,1333,Italian Game,C50,Blitz,69,white
1857,1678,English Opening,A10,Rapid,47,white
1579,1540,French Defense,C00,Bullet,22,white
1644,1572,Ruy Lopez,C60,Rapid,61,black
977,1239,Scandinavian Defense,B01,Blitz,65,white
1778,1639,Pirc Defense,B07,Bullet,29,white
1636,1568,London System,D02,Bullet,27,white
1167,1334,Pirc Defense,B07,Bullet,32,black
1359,1430,English Opening,A10,Blitz,63,black
1579,1539,Scandinavian Defense,B01,Blitz,57,black
1516,1508,Italian Game,C50,Blitz,48,black
1412,1456,Slav Defense,D10,Bullet,55,black
1469,1485,Scandinavian Defense,B01,Blitz,64,black
1424,1462,Queen's Gambit,D06,Blitz,35,white
1546,1523,French Defense,C00,Blitz,65,black
1941,1720,English Opening,A10,Blitz,42,white
730,1115,Sicilian Defense,B20,Bullet,42,black
1429,1465,London System,D02,Blitz,67,white
1553,1527,Queen's Gambit,D06,Blitz,25,black
1589,1545,Sicilian Defense,B20,Blitz,38,black
1388,1444,Queen's Gambit,D06,Bullet,49,black
973,1237,Slav Defense,D10,Blitz,44,white
1598,1549,Queen's Gambit,D06,Blitz,35,white
2018,1759,King's Indian Defense,E60,Blitz,58,white
1040,1270,London System,D02,Rapid,30,white
1759,1629,Sicilian Defense,B20,Rapid,34,white
1401,1450,London System,D02,Bullet,63,white
1482,1491,Queen's Gambit,D06,Blitz,28,black
1184,1342,Scandinavian Defense,B01,Blitz,53,draw
1400,1450,Ruy Lopez,C60,Classical,61,black
1890,1695,Italian Game,C50,Bullet,28,white
1675,1588,London System,D02,Bullet,61,white
2020,1760,London System,D02,Blitz,22,white
1853,1676,Pirc Defense,B07,Bullet,38,white
1632,1566,Scandinavian Defense,B01,Blitz,20,white
2023,1761,Caro-Kann Defense,B10,Blitz,29,white
1632,1566,Ruy Lopez,C60,Bullet,20,white
1748,1624,Queen's Gambit,D06,Blitz,51,white
1411,1455,English Opening,A10,Rapid,54,black
1520,1510,French Defense,C00,Rapid,40,black
1291,1396,Caro-Kann Defense,B10,Blitz,25,white
1797,1649,Ruy Lopez,C60,Bullet,35,white
1147,1324,Caro-Kann Defense,B10,Bullet,33,black
1735,1618,Ruy Lopez,C60,Rapid,57,draw
1443,1472,Italian Game,C50,Rapid,32,black
1851,1675,Italian Game,C50,Blitz,64,draw
1725,1612,King's Indian Defense,E60,Rapid,37,white
2046,1773,French Defense,C00,Bullet,60,white
1719,1609,Italian Game,C50,Blitz,58,white
1028,1264,King's Indian Defense,E60,Bullet,56,white
1480,1490,Italian Game,C50,Bullet,26,white
1148,1324,Sicilian Defense,B20,Blitz,29,black
1345,1423,Italian Game,C50,Blitz,22,draw
1953,1726,Caro-Kann Defense,B10,Classical,59,white
1691,1595,Pirc Defense,B07,Blitz,31,white
1290,1395,Ruy Lopez,C60,Rapid,47,black
1196,1348,Queen's Gambit,D06,Rapid,50,white
1510,1505,Ruy Lopez,C60,Blitz,21,white
1135,1317,French Defense,C00,Classical,54,white
1299,1400,Scandinavian Defense,B01,Blitz,21,black
1594,1547,Queen's Gambit,D06,Blitz,59,draw
1847,1674,English Opening,A10,Bullet,53,white
1683,1592,Slav Defense,D10,Bullet,45,white
813,1157,Pirc Defense,B07,Rapid,21,black
1591,1545,King's Indian Defense,E60,Blitz,46,black
1522,1511,Scandinavian Defense,B01,Blitz,21,white
1624,1562,Pirc Defense,B07,Bullet,59,black
1985,1743,London System,D02,Blitz,56,white
881,1190,Queen's Gambit,D06,Rapid,40,black
1323,1412,Italian Game,C50,Bullet,60,black
1677,1588,Italian Game,C50,Rapid,59,white
1026,1263,Slav Defense,D10,Blitz,30,black
1943,1722,King's Indian Defense,E60,Rapid,29,white
1611,1556,Queen's Gambit,D06,Bullet,25,white
1754,1627,French Defense,C00,Blitz,59,white
1329,1415,Queen's Gambit,D06,Bullet,44,black
1744,1622,London System,D02,Blitz,57,white
1821,1661,English Opening,A10,Rapid,34,white
1570,1535,Slav Defense,D10,Blitz,49,white
1570,1535,Queen's Gambit,D06,Bullet,24,black
1581,1540,Caro-Kann Defense,B10,Rapid,52,black
1241,1371,Italian Game,C50,Bullet,48,black
1456,1478,Pirc Defense,B07,Blitz,47,black
1454,1477,King's Indian Defense,E60,Classical,67,white
1615,1557,King's Indian Defense,E60,Blitz,34,black
1800,1650,French Defense,C00,Rapid,33,black
1182,1341,Queen's Gambit,D06,Blitz,65,black
1462,1481,Pirc Defense,B07,Rapid,37,black
1944,1722,Caro-Kann Defense,B10,Blitz,35,black
1277,1389,Scandinavian Defense,B01,Blitz,57,black
1253,1376,Sicilian Defense,B20,Bullet,52,black
1561,1531,Queen's Gambit,D06,Rapid,56,white
1753,1626,London System,D02,Bullet,80,draw
1503,1501,Italian Game,C50,Classical,58,draw
1899,1700,Italian Game,C50,Bullet,48,white
1757,1628,London System,D02,Bullet,20,black
1753,1627,Queen's Gambit,D06,Rapid,28,white
1666,1583,Queen's Gambit,D06,Bullet,31,black
2198,1849,King's Indian Defense,E60,Blitz,49,white
1438,1469,Ruy Lopez,C60,Rapid,39,black
899,1200,Sicilian Defense,B20,Bullet,47,black
1981,1740,Sicilian Defense,B20,Bullet,59,white
1363,1432,Sicilian Defense,B20,Blitz,39,white
1532,1516,Italian Game,C50,Bullet,43,white
1893,1697,Scandinavian Defense,B01,Bullet,40,black
1019,1259,Queen's Gambit,D06,Bullet,36,draw
1125,1313,Sicilian Defense,B20,Blitz,66,draw
1020,1260,Sicilian Defense,B20,Blitz,37,white
1262,1381,Caro-Kann Defense,B10,Bullet,44,black
1632,1566,Slav Defense,D10,Blitz,36,draw
1657,1578,French Defense,C00,Blitz,61,white
1583,1542,Sicilian Defense,B20,Bullet,63,draw
1076,1288,Ruy Lopez,C60,Blitz,59,white
807,1154,Caro-Kann Defense,B10,Rapid,48,black
1516,1508,Ruy Lopez,C60,Blitz,35,white
1358,1429,Pirc Defense,B07,Blitz,36,white
1638,1569,London System,D02,Blitz,67,black
1711,1606,French Defense,C00,Bullet,33,white
1541,1520,Pirc Defense,B07,Rapid,45,white
1728,1614,Queen's Gambit,D06,Classical,29,white
1569,1535,Italian Game,C50,Classical,63,black
1659,1579,Pirc Defense,B07,Bullet,29,draw
1289,1395,Pirc Defense,B07,Blitz,56,black
1446,1473,Queen's Gambit,D06,Bullet,68,black
1559,1529,English Opening,A10,Blitz,51,black
1746,1623,Ruy Lopez,C60,Blitz,60,white
1382,1441,English Opening,A10,Blitz,26,white
1656,1578,Scandinavian Defense,B01,Bullet,30,draw
1420,1460,Scandinavian Defense,B01,Classical,58,white
1465,1483,King's Indian Defense,E60,Bullet,31,white
1749,1625,Scandinavian Defense,B01,Bullet,34,black
902,1201,King's Indian Defense,E60,Rapid,58,black
1111,1305,London System,D02,Rapid,64,draw
1055,1277,Ruy Lopez,C60,Blitz,50,black
800,1150,Caro-Kann Defense,B10,Blitz,66,black
1297,1399,French Defense,C00,Bullet,45,black
1725,1613,King's Indian Defense,E60,Bullet,62,black
1415,1458,Italian Game,C50,Blitz,22,white
1559,1529,Queen's Gambit,D06,Blitz,58,black
1827,1664,Pirc Defense,B07,Blitz,46,black
1898,1699,Italian Game,C50,Bullet,65,white
1479,1489,English Opening,A10,Blitz,70,draw
1906,1703,English Opening,A10,Rapid,39,white
1528,1514,Caro-Kann Defense,B10,Bullet,26,black
1249,1375,Sicilian Defense,B20,Bullet,61,black
1322,1411,Sicilian Defense,B20,Blitz,44,black
1056,1278,Queen's Gambit,D06,Rapid,36,draw
1234,1367,Italian Game,C50,Blitz,55,black
1393,1447,Italian Game,C50,Rapid,62,draw
1741,1620,Italian Game,C50,Blitz,30,white
2016,1758,Ruy Lopez,C60,Bullet,68,white
1085,1292,Slav Defense,D10,Blitz,33,black
1618,1559,English Opening,A10,Bullet,69,black
1188,1344,Sicilian Defense,B20,Rapid,66,black
1642,1571,English Opening,A10,Bullet,28,draw
1461,1481,Italian Game,C50,Bullet,36,black
951,1226,Caro-Kann Defense,B10,Blitz,36,black
1778,1639,Sicilian Defense,B20,Blitz,48,white
1318,1409,Italian Game,C50,Blitz,20,black
1340,1420,Italian Game,C50,Blitz,44,draw
1179,1339,Caro-Kann Defense,B10,Classical,33,black
1304,1402,Caro-Kann Defense,B10,Rapid,50,draw
1628,1564,French Defense,C00,Rapid,38,black
1443,1471,English Opening,A10,Blitz,66,white
1599,1550,Scandinavian Defense,B01,Blitz,44,black
1609,1555,Scandinavian Defense,B01,Blitz,43,black
1896,1698,King's Indian Defense,E60,Blitz,27,white
1397,1448,King's Indian Defense,E60,Blitz,37,black
1057,1279,Caro-Kann Defense,B10,Blitz,37,white
1820,1660,Ruy Lopez,C60,Bullet,60,white
1401,1451,Caro-Kann Defense,B10,Bullet,64,white
1834,1667,Sicilian Defense,B20,Rapid,30,draw
1615,1557,Pirc Defense,B07,Bullet,24,white
1461,1481,French Defense,C00,Blitz,39,black
1605,1553,London System,D02,Blitz,26,black
2085,1792,Pirc Defense,B07,Bullet,33,white
2123,1811,Caro-Kann Defense,B10,Rapid,68,white
1521,1511,Slav Defense,D10,Bullet,37,black
1548,1524,Caro-Kann Defense,B10,Rapid,30,white
1823,1662,Italian Game,C50,Rapid,59,white
1246,1373,Sicilian Defense,B20,Bullet,43,white
1600,1550,Italian Game,C50,Bullet,50,black
1492,1496,Pirc Defense,B07,Blitz,50,white
1594,1547,Caro-Kann Defense,B10,Blitz,37,white
1250,1375,Queen's Gambit,D06,Bullet,50,white
1023,1261,Caro-Kann Defense,B10,Classical,21,black
878,1189,Queen's Gambit,D06,Bullet,21,black
1165,1333,Slav Defense,D10,Rapid,21,black
1362,1431,Pirc Defense,B07,Bullet,67,white
1412,1456,Italian Game,C50,Classical,22,black
2081,1790,Scandinavian Defense,B01,Bullet,38,white
1832,1666,French Defense,C00,Blitz,22,white
1211,1355,Sicilian Defense,B20,Blitz,65,white
1604,1552,Pirc Defense,B07,Bullet,20,black
1378,1439,Sicilian Defense,B20,Rapid,53,white
1415,1458,Ruy Lopez,C60,Bullet,56,white
1556,1528,Sicilian Defense,B20,Blitz,35,white
1686,1593,Caro-Kann Defense,B10,Blitz,25,black
1398,1449,English Opening,A10,Blitz,44,white
1819,1659,Queen's Gambit,D06,Bullet,56,white
1157,1328,Sicilian Defense,B20,Bullet,69,black
1502,1501,Italian Game,C50,Bullet,50,black
2279,1889,Pirc Defense,B07,Blitz,43,white
1567,1534,London System,D02,Bullet,34,white
1930,1715,Pirc Defense,B07,Classical,32,white
1527,1513,King's Indian Defense,E60,Blitz,21,white
1674,1587,King's Indian Defense,E60,Blitz,21,white
1483,1492,London System,D02,Blitz,58,black
1449,1475,English Opening,A10,Bullet,39,white
1266,1383,Caro-Kann Defense,B10,Blitz,20,black
1629,1564,Queen's Gambit,D06,Bullet,59,white
1245,1373,Caro-Kann Defense,B10,Blitz,68,white
1700,1600,Sicilian Defense,B20,Blitz,61,black
1826,1663,Ruy Lopez,C60,Blitz,59,black
1610,1555,Scandinavian Defense,B01,Classical,49,white
1414,1457,Slav Defense,D10,Bullet,52,black
1636,1568,Italian Game,C50,Blitz,68,white
1407,1453,Italian Game,C50,Bullet,43,black
1781,1641,Italian Game,C50,Blitz,43,black
951,1226,London System,D02,Rapid,64,black
1399,1449,Queen's Gambit,D06,Bullet,58,black
903,1202,Queen's Gambit,D06,Blitz,40,black
1051,1275,Sicilian Defense,B20,Blitz,69,black
1909,1704,Pirc Defense,B07,Bullet,56,white
1769,1635,Caro-Kann Defense,B10,Classical,62,white
1284,1392,London System,D02,Blitz,55,black
1049,1274,Scandinavian Defense,B01,Rapid,63,draw
611,1056,Italian Game,C50,Blitz,62,black
1337,1419,London System,D02,Classical,22,black
2226,1863,King's Indian Defense,E60,Bullet,28,white
1630,1565,English Opening,A10,Blitz,66,white
1332,1416,Ruy Lopez,C60,Rapid,40,white
1640,1570,Slav Defense,D10,Blitz,56,white
1032,1266,Pirc Defense,B07,Blitz,66,black
1411,1456,French Defense,C00,Classical,41,black
1530,1515,Italian Game,C50,Blitz,20,black
1474,1487,Slav Defense,D10,Blitz,53,white
1737,1618,Slav Defense,D10,Blitz,48,white
1603,1551,King's Indian Defense,E60,Rapid,67,white
1700,1600,King's Indian Defense,E60,Rapid,58,white
1293,1396,Ruy Lopez,C60,Blitz,57,black
1769,1634,Sicilian Defense,B20,Bullet,46,white
1989,1745,Pirc Defense,B07,Bullet,68,white
1209,1355,Caro-Kann Defense,B10,Blitz,38,black
1234,1367,Queen's Gambit,D06,Rapid,52,black
1901,1701,Scandinavian Defense,B01,Blitz,51,draw
1443,1472,Sicilian Defense,B20,Bullet,20,black
1921,1710,Sicilian Defense,B20,Bullet,68,black
1367,1433,Ruy Lopez,C60,Blitz,55,draw
1937,1719,Caro-Kann Defense,B10,Rapid,58,white
1539,1519,French Defense,C00,Bullet,23,black
1577,1538,Ruy Lopez,C60,Blitz,52,white
1969,1734,French Defense,C00,Rapid,21,white
1391,1445,French Defense,C00,Classical,58,black
1218,1359,King's Indian Defense,E60,Bullet,68,black
1365,1432,King's Indian Defense,E60,Classical,24,black
1636,1568,Slav Defense,D10,Blitz,27,white
1030,1265,London System,D02,Rapid,36,black
1691,1595,Queen's Gambit,D06,Bullet,57,white
1338,1419,Slav Defense,D10,Blitz,45,white
1844,1672,King's Indian Defense,E60,Blitz,49,draw
782,1141,Ruy Lopez,C60,Blitz,28,black
1264,1382,French Defense,C00,Blitz,57,black
994,1247,Scandinavian Defense,B01,Blitz,51,black
1252,1376,London System,D02,Blitz,53,black
